GeneName	Expression
gene1	55
gene2	51
gene3	77
gene4	23
gene5	72
gene6	66
gene7	97
gene8	28
gene9	82
gene10	65
gene11	65
gene12	22
gene13	57
gene14	24
gene15	28
gene16	92
gene17	82
gene18	10
gene19	83
gene20	51
gene21	73
gene22	36
gene23	92
gene24	65
gene25	21
gene26	72
gene27	94
gene28	33
gene29	28
gene30	10
gene31	43
gene32	47
gene33	55
gene34	68
gene35	76
gene36	23
gene37	43
gene38	61
gene39	64
gene40	80
gene41	53
gene42	77
gene43	70
gene44	9
gene45	97
gene46	34
gene47	81
gene48	86
gene49	90
gene50	41
