GeneName	Expression
gene1	64
gene2	50
gene3	74
gene4	31
gene5	63
gene6	70
gene7	93
gene8	25
gene9	73
gene10	74
gene11	65
gene12	24
gene13	48
gene14	18
gene15	31
gene16	84
gene17	74
gene18	15
gene19	93
gene20	46
gene21	66
gene22	26
gene23	82
gene24	63
gene25	18
gene26	64
gene27	85
gene28	33
gene29	32
gene30	3
gene31	39
gene32	48
gene33	64
gene34	78
gene35	68
gene36	26
gene37	49
gene38	66
gene39	74
gene40	83
gene41	58
gene42	71
gene43	70
gene44	18
gene45	99
gene46	34
gene47	74
gene48	95
gene49	97
gene50	41
