GeneName	Expression
gene1	48
gene2	62
gene3	73
gene4	34
gene5	66
gene6	73
gene7	90
gene8	39
gene9	93
gene10	54
gene11	60
gene12	40
gene13	51
gene14	13
gene15	29
gene16	88
gene17	78
gene18	14
gene19	95
gene20	47
gene21	70
gene22	25
gene23	80
gene24	67
gene25	21
gene26	64
gene27	83
gene28	32
gene29	45
gene30	13
gene31	37
gene32	22
gene33	68
gene34	106
gene35	63
gene36	23
gene37	48
gene38	65
gene39	72
gene40	80
gene41	58
gene42	67
gene43	73
gene44	21
gene45	100
gene46	7
gene47	62
gene48	83
gene49	107
gene50	43
