GeneName	Probe1	Probe2	Probe3	Probe4	Probe5
gene1	13	32	24	8	29
gene2	29	49	16	11	44
gene3	86	73	95	90	85
gene4	68	66	57	74	53
gene5	22	30	5	32	39
gene6	45	47	60	38	34
gene7	77	58	71	74	74
gene8	93	74	112	84	79
gene9	38	49	53	58	40
gene10	33	18	44	47	37
gene11	86	87	103	71	104
gene12	60	62	59	48	60
gene13	19	19	36	11	36
gene14	23	12	23	40	18
gene15	26	25	20	33	21
gene16	56	45	72	76	39
gene17	79	93	96	80	67
gene18	69	52	82	58	53
gene19	36	49	26	33	25
gene20	28	21	34	27	32
gene21	9	24	22	4	7
gene22	64	57	55	70	46
gene23	22	41	17	21	22
gene24	22	11	36	39	33
gene25	51	39	44	59	43
gene26	7	2	26	7	-10
gene27	95	83	82	101	112
gene28	12	29	-2	12	20
gene29	42	44	49	39	24
gene30	48	59	56	42	62
gene31	82	72	94	82	71
gene32	51	54	52	39	43
gene33	17	5	24	0	3
gene34	71	51	53	65	54
gene35	67	53	71	61	47
gene36	4	-15	13	-14	14
gene37	69	60	82	53	55
gene38	30	38	27	35	35
gene39	17	23	35	29	8
gene40	55	41	57	53	63
gene41	34	30	43	28	54
gene42	69	72	80	55	68
gene43	97	117	106	90	88
gene44	95	82	105	102	104
gene45	4	4	18	-12	11
gene46	66	59	55	52	67
gene47	89	109	77	105	97
gene48	2	-1	-4	-16	18
gene49	4	-9	18	-7	1
gene50	46	55	60	41	59
