GeneName	Expression
gene1	60
gene2	51
gene3	74
gene4	22
gene5	101
gene6	81
gene7	72
gene8	58
gene9	86
gene10	67
gene11	63
gene12	20
gene13	52
gene14	29
gene15	29
gene16	93
gene17	83
gene18	31
gene19	95
gene20	60
gene21	94
gene22	22
gene23	104
gene24	69
gene25	25
gene26	71
gene27	98
gene28	29
gene29	27
gene30	7
gene31	44
gene32	49
gene33	50
gene34	68
gene35	71
gene36	27
gene37	48
gene38	64
gene39	69
gene40	103
gene41	71
gene42	52
gene43	46
gene44	9
gene45	92
gene46	31
gene47	83
gene48	85
gene49	68
gene50	64
